cast_member,season,type
Tracy Morgan,28,repertory
Horatio Sanz,29,repertory
Finesse Mitchell,29,featured
Kenan Thompson,29,featured
Will Forte,29,repertory
Jeff Richards,29,repertory
Darrell Hammond,29,repertory
Amy Poehler,29,repertory
Maya Rudolph,29,repertory
Jimmy Fallon,29,repertory
Tina Fey,29,repertory
Fred Armisen,29,featured
Seth Meyers,29,repertory
Rachel Dratch,29,repertory
Chris Parnell,29,repertory
Rob Riggle,30,featured
Fred Armisen,30,repertory
Horatio Sanz,30,repertory
Finesse Mitchell,30,featured
Kenan Thompson,30,featured
Will Forte,30,repertory
Maya Rudolph,30,repertory
Darrell Hammond,30,repertory
Amy Poehler,30,repertory
Tina Fey,30,repertory
Seth Meyers,30,repertory
Rachel Dratch,30,repertory
Chris Parnell,30,repertory
Jason Sudeikis,30,featured
Fred Armisen,31,repertory
Horatio Sanz,31,repertory
Andy Samberg,31,featured
Kenan Thompson,31,repertory
Will Forte,31,repertory
Maya Rudolph,31,repertory
Darrell Hammond,31,repertory
Amy Poehler,31,repertory
Bill Hader,31,featured
Tina Fey,31,repertory
Seth Meyers,31,repertory
Finesse Mitchell,31,repertory
Rachel Dratch,31,repertory
Chris Parnell,31,repertory
Kristen Wiig,31,featured
Jason Sudeikis,31,featured
Fred Armisen,32,repertory
Bill Hader,32,repertory
Kenan Thompson,32,repertory
Will Forte,32,repertory
Maya Rudolph,32,repertory
Darrell Hammond,32,repertory
Amy Poehler,32,repertory
Andy Samberg,32,repertory
Seth Meyers,32,repertory
Jason Sudeikis,32,repertory
Kristen Wiig,32,repertory
Fred Armisen,33,repertory
Bill Hader,33,repertory
Kenan Thompson,33,repertory
Will Forte,33,repertory
Maya Rudolph,33,repertory
Darrell Hammond,33,repertory
Amy Poehler,33,repertory
Andy Samberg,33,repertory
Seth Meyers,33,repertory
Casey Wilson,33,featured
Jason Sudeikis,33,repertory
Kristen Wiig,33,repertory
Fred Armisen,34,repertory
Bill Hader,34,repertory
Kenan Thompson,34,repertory
Will Forte,34,repertory
Darrell Hammond,34,repertory
Amy Poehler,34,repertory
Abby Elliott,34,featured
Michaela Watkins,34,featured
Andy Samberg,34,repertory
Bobby Moynihan,34,featured
Seth Meyers,34,repertory
Casey Wilson,34,featured
Jason Sudeikis,34,repertory
Kristen Wiig,34,repertory
Nasim Pedrad,35,featured
Fred Armisen,35,repertory
Bill Hader,35,repertory
Kenan Thompson,35,repertory
Will Forte,35,repertory
Abby Elliott,35,featured
Jenny Slate,35,featured
Andy Samberg,35,repertory
Bobby Moynihan,35,featured
Seth Meyers,35,repertory
Jason Sudeikis,35,repertory
Kristen Wiig,35,repertory
Nasim Pedrad,36,featured
Fred Armisen,36,repertory
Bill Hader,36,repertory
Bobby Moynihan,36,repertory
Jay Pharoah,36,featured
Kenan Thompson,36,repertory
Taran Killam,36,featured
Vanessa Bayer,36,featured
Andy Samberg,36,repertory
Abby Elliott,36,repertory
Seth Meyers,36,repertory
Jason Sudeikis,36,repertory
Paul Brittain,36,featured
Kristen Wiig,36,repertory
Fred Armisen,37,repertory
Bill Hader,37,repertory
Bobby Moynihan,37,repertory
Jay Pharoah,37,featured
Kenan Thompson,37,repertory
Taran Killam,37,featured
Vanessa Bayer,37,featured
Andy Samberg,37,repertory
Abby Elliott,37,repertory
Kristen Wiig,37,repertory
Nasim Pedrad,37,repertory
Seth Meyers,37,repertory
Jason Sudeikis,37,repertory
Paul Brittain,37,featured
Kate McKinnon,37,featured
Tim Robinson,38,featured
Fred Armisen,38,repertory
Bill Hader,38,repertory
Kate McKinnon,38,featured
Bobby Moynihan,38,repertory
Taran Killam,38,repertory
Vanessa Bayer,38,repertory
Kenan Thompson,38,repertory
Jay Pharoah,38,repertory
Aidy Bryant,38,featured
Nasim Pedrad,38,repertory
Seth Meyers,38,repertory
Jason Sudeikis,38,repertory
Cecily Strong,38,featured
Aidy Bryant,39,repertory
Kate McKinnon,39,repertory
Colin Jost,39,featured
Bobby Moynihan,39,repertory
Noël Wells,39,featured
Vanessa Bayer,39,repertory
Taran Killam,39,repertory
Kenan Thompson,39,repertory
Jay Pharoah,39,repertory
John Milhiser,39,featured
Brooks Wheelan,39,featured
Nasim Pedrad,39,repertory
Mike O'Brien,39,featured
Beck Bennett,39,featured
Kyle Mooney,39,featured
Cecily Strong,39,repertory
Seth Meyers,39,repertory
Sasheer Zamata,39,featured
Aidy Bryant,40,repertory
Kate McKinnon,40,repertory
Colin Jost,40,featured
Bobby Moynihan,40,repertory
Pete Davidson,40,featured
Vanessa Bayer,40,repertory
Taran Killam,40,repertory
Jay Pharoah,40,repertory
Kenan Thompson,40,repertory
Leslie Jones,40,featured
Beck Bennett,40,featured
Kyle Mooney,40,featured
Cecily Strong,40,repertory
Michael Che,40,featured
Sasheer Zamata,40,featured
Aidy Bryant,41,repertory
Sasheer Zamata,41,repertory
Kate McKinnon,41,repertory
Pete Davidson,41,featured
Bobby Moynihan,41,repertory
Kyle Mooney,41,repertory
Vanessa Bayer,41,repertory
Taran Killam,41,repertory
Kenan Thompson,41,repertory
Jay Pharoah,41,repertory
Jon Rudnitsky,41,featured
Colin Jost,41,repertory
Leslie Jones,41,featured
Beck Bennett,41,repertory
Cecily Strong,41,repertory
Michael Che,41,featured
