cast_member,season,type
Kevin Nealon,13,repertory
Jan Hooks,13,repertory
Victoria Jackson,13,repertory
Dana Carvey,13,repertory
A. Whitney Brown,13,featured
Phil Hartman,14,repertory
Dennis Miller,14,repertory
Jon Lovitz,14,repertory
Nora Dunn,14,repertory
Kevin Nealon,14,repertory
Jan Hooks,14,repertory
Mike Myers,14,featured
Victoria Jackson,14,repertory
Dana Carvey,14,repertory
Al Franken,14,featured
A. Whitney Brown,14,featured
Ben Stiller,14,featured
Mike Myers,15,repertory
Phil Hartman,15,repertory
Jon Lovitz,15,repertory
Nora Dunn,15,repertory
Kevin Nealon,15,repertory
Dennis Miller,15,repertory
Jan Hooks,15,repertory
Victoria Jackson,15,repertory
Dana Carvey,15,repertory
Al Franken,15,featured
A. Whitney Brown,15,featured
Mike Myers,16,repertory
Phil Hartman,16,repertory
Kevin Nealon,16,repertory
Dennis Miller,16,repertory
Jan Hooks,16,repertory
Rob Schneider,16,featured
Adam Sandler,16,featured
Victoria Jackson,16,repertory
Dana Carvey,16,repertory
Chris Farley,16,featured
A. Whitney Brown,16,featured
David Spade,16,featured
Julia Sweeney,16,featured
Al Franken,16,featured
Tim Meadows,16,featured
Chris Rock,16,featured
Mike Myers,17,repertory
Phil Hartman,17,repertory
Kevin Nealon,17,repertory
Ellen Cleghorne,17,featured
Robert Smigel,17,featured
Rob Schneider,17,featured
Adam Sandler,17,featured
Siobhan Fallon Hogan,17,featured
Dana Carvey,17,repertory
Victoria Jackson,17,repertory
Chris Rock,17,repertory
Melanie Hutsell,17,featured
Julia Sweeney,17,repertory
Chris Farley,17,repertory
David Spade,17,featured
Beth Cahill,17,featured
Al Franken,17,featured
Tim Meadows,17,featured
Mike Myers,18,repertory
Phil Hartman,18,repertory
Kevin Nealon,18,repertory
Ellen Cleghorne,18,featured
Robert Smigel,18,featured
Rob Schneider,18,repertory
Dana Carvey,18,repertory
Chris Rock,18,repertory
Melanie Hutsell,18,featured
Julia Sweeney,18,repertory
Chris Farley,18,repertory
David Spade,18,featured
Adam Sandler,18,featured
Al Franken,18,featured
Tim Meadows,18,featured
Mike Myers,19,repertory
Phil Hartman,19,repertory
Kevin Nealon,19,repertory
Norm Macdonald,19,featured
Rob Schneider,19,repertory
Al Franken,19,featured
Ellen Cleghorne,19,repertory
Sarah Silverman,19,featured
David Spade,19,repertory
Tim Meadows,19,repertory
Julia Sweeney,19,repertory
Adam Sandler,19,repertory
Michael McKean,19,repertory
Jay Mohr,19,featured
Chris Farley,19,repertory
Melanie Hutsell,19,repertory
Mike Myers,20,repertory
Kevin Nealon,20,repertory
Chris Elliott,20,repertory
Norm Macdonald,20,repertory
Al Franken,20,featured
Molly Shannon,20,featured
Ellen Cleghorne,20,repertory
David Spade,20,repertory
Tim Meadows,20,repertory
Adam Sandler,20,repertory
Michael McKean,20,repertory
Chris Farley,20,repertory
Jay Mohr,20,featured
Mark McKinney,20,repertory
Morwenna Banks,20,repertory
Janeane Garofalo,20,repertory
Laura Kightlinger,20,featured
Molly Shannon,21,repertory
David Koechner,21,repertory
Norm Macdonald,21,repertory
Cheri Oteri,21,repertory
Fred Wolf,21,featured
Nancy Carell,21,repertory
Darrell Hammond,21,repertory
Tim Meadows,21,repertory
Jim Breuer,21,repertory
Will Ferrell,21,repertory
David Spade,21,repertory
Chris Kattan,21,featured
Mark McKinney,21,repertory
Colin Quinn,21,featured
Molly Shannon,22,repertory
Tracy Morgan,22,repertory
Cheri Oteri,22,repertory
Norm Macdonald,22,repertory
Fred Wolf,22,featured
Chris Kattan,22,repertory
Darrell Hammond,22,repertory
Tim Meadows,22,repertory
Jim Breuer,22,repertory
Ana Gasteyer,22,repertory
Will Ferrell,22,repertory
Mark McKinney,22,repertory
Colin Quinn,22,featured
Molly Shannon,23,repertory
Tracy Morgan,23,repertory
Norm Macdonald,23,repertory
Cheri Oteri,23,repertory
Chris Kattan,23,repertory
Darrell Hammond,23,repertory
Tim Meadows,23,repertory
Colin Quinn,23,repertory
Jim Breuer,23,repertory
Ana Gasteyer,23,repertory
Will Ferrell,23,repertory
Molly Shannon,24,repertory
Tracy Morgan,24,repertory
Cheri Oteri,24,repertory
Horatio Sanz,24,featured
Jimmy Fallon,24,featured
Chris Kattan,24,repertory
Darrell Hammond,24,repertory
Tim Meadows,24,repertory
Colin Quinn,24,repertory
Chris Parnell,24,featured
Ana Gasteyer,24,repertory
Will Ferrell,24,repertory
Molly Shannon,25,repertory
Tracy Morgan,25,repertory
Cheri Oteri,25,repertory
Chris Kattan,25,repertory
Darrell Hammond,25,repertory
Tim Meadows,25,repertory
Colin Quinn,25,repertory
Ana Gasteyer,25,repertory
Will Ferrell,25,repertory
Chris Parnell,25,repertory
Jimmy Fallon,25,repertory
Rachel Dratch,25,featured
Maya Rudolph,25,featured
Horatio Sanz,25,repertory
Molly Shannon,26,repertory
Tracy Morgan,26,repertory
Jerry Minor,26,featured
Chris Kattan,26,repertory
Darrell Hammond,26,repertory
Tina Fey,26,featured
Ana Gasteyer,26,repertory
Will Ferrell,26,repertory
Chris Parnell,26,repertory
Jimmy Fallon,26,repertory
Rachel Dratch,26,featured
Maya Rudolph,26,featured
Horatio Sanz,26,repertory
Amy Poehler,27,repertory
Tracy Morgan,27,repertory
Rachel Dratch,27,repertory
Chris Kattan,27,repertory
Darrell Hammond,27,repertory
Dean Edwards,27,featured
Tina Fey,27,repertory
Jeff Richards,27,featured
Maya Rudolph,27,repertory
Ana Gasteyer,27,repertory
Will Ferrell,27,repertory
Chris Parnell,27,repertory
Jimmy Fallon,27,repertory
Horatio Sanz,27,repertory
Seth Meyers,27,featured
Amy Poehler,28,repertory
Fred Armisen,28,featured
Will Forte,28,featured
Tracy Morgan,28,repertory
Rachel Dratch,28,repertory
Chris Kattan,28,repertory
Darrell Hammond,28,repertory
Dean Edwards,28,featured
Tina Fey,28,repertory
Jeff Richards,28,featured
Maya Rudolph,28,repertory
Chris Parnell,28,repertory
Jimmy Fallon,28,repertory
Horatio Sanz,28,repertory
Seth Meyers,28,featured
Will Forte,29,repertory
Amy Poehler,29,repertory
Finesse Mitchell,29,featured
Fred Armisen,29,featured
Rachel Dratch,29,repertory
Kenan Thompson,29,featured
Darrell Hammond,29,repertory
Seth Meyers,29,repertory
Tina Fey,29,repertory
Maya Rudolph,29,repertory
Jeff Richards,29,repertory
Chris Parnell,29,repertory
Jimmy Fallon,29,repertory
Horatio Sanz,29,repertory
Will Forte,30,repertory
Amy Poehler,30,repertory
Finesse Mitchell,30,featured
Rob Riggle,30,featured
Fred Armisen,30,repertory
Rachel Dratch,30,repertory
Kenan Thompson,30,featured
Darrell Hammond,30,repertory
Seth Meyers,30,repertory
Tina Fey,30,repertory
Jason Sudeikis,30,featured
Maya Rudolph,30,repertory
Chris Parnell,30,repertory
Horatio Sanz,30,repertory
Will Forte,31,repertory
Amy Poehler,31,repertory
Finesse Mitchell,31,repertory
Fred Armisen,31,repertory
Rachel Dratch,31,repertory
Kristen Wiig,31,featured
Darrell Hammond,31,repertory
Seth Meyers,31,repertory
Tina Fey,31,repertory
Maya Rudolph,31,repertory
Jason Sudeikis,31,featured
Bill Hader,31,featured
Kenan Thompson,31,repertory
Chris Parnell,31,repertory
Horatio Sanz,31,repertory
Andy Samberg,31,featured
Will Forte,32,repertory
Amy Poehler,32,repertory
Fred Armisen,32,repertory
Darrell Hammond,32,repertory
Seth Meyers,32,repertory
Andy Samberg,32,repertory
Maya Rudolph,32,repertory
Bill Hader,32,repertory
Kenan Thompson,32,repertory
Kristen Wiig,32,repertory
Jason Sudeikis,32,repertory
Will Forte,33,repertory
Amy Poehler,33,repertory
Fred Armisen,33,repertory
Darrell Hammond,33,repertory
Andy Samberg,33,repertory
Seth Meyers,33,repertory
Maya Rudolph,33,repertory
Bill Hader,33,repertory
Casey Wilson,33,featured
Kenan Thompson,33,repertory
Kristen Wiig,33,repertory
Jason Sudeikis,33,repertory
Will Forte,34,repertory
Amy Poehler,34,repertory
Abby Elliott,34,featured
Michaela Watkins,34,featured
Fred Armisen,34,repertory
Bobby Moynihan,34,featured
Seth Meyers,34,repertory
Darrell Hammond,34,repertory
Andy Samberg,34,repertory
Bill Hader,34,repertory
Casey Wilson,34,featured
Kenan Thompson,34,repertory
Kristen Wiig,34,repertory
Jason Sudeikis,34,repertory
Will Forte,35,repertory
Abby Elliott,35,featured
Fred Armisen,35,repertory
Jenny Slate,35,featured
Bobby Moynihan,35,featured
Andy Samberg,35,repertory
Seth Meyers,35,repertory
Bill Hader,35,repertory
Nasim Pedrad,35,featured
Kenan Thompson,35,repertory
Kristen Wiig,35,repertory
Jason Sudeikis,35,repertory
Taran Killam,36,featured
Abby Elliott,36,repertory
Kenan Thompson,36,repertory
Jay Pharoah,36,featured
Paul Brittain,36,featured
Fred Armisen,36,repertory
Andy Samberg,36,repertory
Seth Meyers,36,repertory
Bill Hader,36,repertory
Nasim Pedrad,36,featured
Vanessa Bayer,36,featured
Kristen Wiig,36,repertory
Jason Sudeikis,36,repertory
Bobby Moynihan,36,repertory
Abby Elliott,37,repertory
Kenan Thompson,37,repertory
Fred Armisen,37,repertory
Andy Samberg,37,repertory
Seth Meyers,37,repertory
Nasim Pedrad,37,repertory
Bill Hader,37,repertory
Kristen Wiig,37,repertory
Jason Sudeikis,37,repertory
Bobby Moynihan,37,repertory
Jay Pharoah,38,repertory
Taran Killam,38,repertory
Fred Armisen,38,repertory
Kate McKinnon,38,featured
Cecily Strong,38,featured
Vanessa Bayer,38,repertory
Seth Meyers,38,repertory
Aidy Bryant,38,featured
Tim Robinson,38,featured
Bill Hader,38,repertory
Nasim Pedrad,38,repertory
Kenan Thompson,38,repertory
Jason Sudeikis,38,repertory
Bobby Moynihan,38,repertory
Beck Bennett,39,featured
Jay Pharoah,39,repertory
Taran Killam,39,repertory
Vanessa Bayer,39,repertory
Seth Meyers,39,repertory
Sasheer Zamata,39,featured
Noël Wells,39,featured
Cecily Strong,39,repertory
Colin Jost,39,featured
Nasim Pedrad,39,repertory
Kyle Mooney,39,featured
Kenan Thompson,39,repertory
Mike O'Brien,39,featured
Kate McKinnon,39,repertory
Brooks Wheelan,39,featured
Aidy Bryant,39,repertory
John Milhiser,39,featured
Bobby Moynihan,39,repertory
Beck Bennett,40,featured
Taran Killam,40,repertory
Jay Pharoah,40,repertory
Vanessa Bayer,40,repertory
Sasheer Zamata,40,featured
Leslie Jones,40,featured
Cecily Strong,40,repertory
Colin Jost,40,featured
Michael Che,40,featured
Kyle Mooney,40,featured
Kenan Thompson,40,repertory
Kate McKinnon,40,repertory
Aidy Bryant,40,repertory
Pete Davidson,40,featured
Bobby Moynihan,40,repertory
Sasheer Zamata,41,repertory
Beck Bennett,41,repertory
Taran Killam,41,repertory
Jay Pharoah,41,repertory
Vanessa Bayer,41,repertory
Colin Jost,41,repertory
Leslie Jones,41,featured
Cecily Strong,41,repertory
Jon Rudnitsky,41,featured
Kyle Mooney,41,repertory
Michael Che,41,featured
Kenan Thompson,41,repertory
Kate McKinnon,41,repertory
Aidy Bryant,41,repertory
Pete Davidson,41,featured
Bobby Moynihan,41,repertory
