season,episode,air_date
16,3,1990-10-20
16,4,1990-10-27
16,5,1990-11-10
16,6,1990-11-17
16,7,1990-12-01
16,8,1990-12-08
16,9,1990-12-15
16,10,1991-01-12
16,11,1991-01-19
16,12,1991-02-09
16,13,1991-02-16
16,14,1991-02-23
16,15,1991-03-16
16,16,1991-03-23
16,17,1991-04-13
16,18,1991-04-20
16,19,1991-05-11
16,20,1991-05-18
17,1,1991-09-28
17,2,1991-10-05
17,3,1991-10-12
17,4,1991-10-26
17,5,1991-11-02
17,6,1991-11-16
17,7,1991-11-23
17,8,1991-12-07
17,9,1991-12-14
17,10,1992-01-11
17,11,1992-01-18
17,12,1992-02-08
17,13,1992-02-15
17,14,1992-02-22
17,15,1992-03-14
17,16,1992-03-21
17,17,1992-04-11
17,18,1992-04-18
17,19,1992-05-09
17,20,1992-05-16
18,1,1992-09-28
18,2,1992-10-03
18,3,1992-10-10
18,4,1992-10-24
18,5,1992-10-31
18,6,1992-11-14
18,7,1992-11-21
18,8,1992-12-05
18,9,1992-12-12
18,10,1993-01-09
18,11,1993-01-16
18,12,1993-02-06
18,13,1993-02-13
18,14,1993-02-20
18,15,1993-03-13
18,16,1993-03-20
18,17,1993-04-10
18,18,1993-04-24
18,19,1993-05-15
18,20,1993-05-22
19,1,1993-09-25
19,2,1993-10-02
19,3,1993-10-09
19,4,1993-10-23
19,5,1993-10-31
19,6,1993-11-13
19,7,1993-11-20
19,8,1993-12-04
19,9,1993-12-11
19,10,1994-01-08
19,11,1994-01-15
19,12,1994-02-05
19,13,1994-02-12
19,14,1994-02-19
19,15,1994-03-12
19,16,1994-03-19
19,17,1994-04-09
19,18,1994-04-16
19,19,1994-05-07
19,20,1994-05-14
20,1,1994-09-24
20,2,1994-10-01
20,3,1994-10-15
20,4,1994-10-22
20,5,1994-11-12
20,6,1994-11-17
20,7,1994-12-03
20,8,1994-12-10
20,9,1994-12-17
20,10,1995-01-14
20,11,1995-01-21
20,12,1995-02-11
20,13,1995-02-18
20,14,1995-02-25
20,15,1995-03-18
20,16,1995-03-25
20,17,1995-04-08
20,18,1995-04-15
20,19,1995-05-06
20,20,1995-05-13
21,1,1995-09-30
21,2,1995-10-07
21,3,1995-10-21
21,4,1995-10-28
21,5,1995-11-11
21,6,1995-11-18
21,7,1995-12-02
21,8,1995-12-09
21,9,1995-12-16
21,10,1996-01-13
21,11,1996-01-20
21,12,1996-02-10
21,13,1996-02-17
21,14,1996-02-24
21,15,1996-03-16
21,16,1996-03-23
21,17,1996-04-13
21,18,1996-04-20
21,19,1996-05-11
21,20,1996-05-18
22,1,1996-09-28
22,2,1996-10-05
22,3,1996-10-19
22,4,1996-10-26
22,5,1996-11-02
22,6,1996-11-16
22,7,1996-11-23
22,8,1996-12-07
22,9,1996-12-14
22,10,1997-01-11
22,11,1997-01-18
22,12,1997-02-08
22,13,1997-02-15
22,14,1997-02-22
22,15,1997-03-15
22,16,1997-03-22
22,17,1997-04-12
22,18,1997-04-19
22,19,1997-05-10
22,20,1997-05-17
23,1,1997-09-27
23,2,1997-10-04
23,3,1997-10-18
23,4,1997-10-25
23,5,1997-11-08
23,6,1997-11-15
23,7,1997-11-22
23,8,1997-12-06
23,9,1997-12-13
23,10,1998-01-10
23,11,1998-01-17
23,12,1998-02-07
23,13,1998-02-14
23,14,1998-02-28
23,15,1998-03-07
23,16,1998-03-14
23,17,1998-04-04
23,18,1998-04-11
23,19,1998-05-02
23,20,1998-05-09
24,1,1998-09-26
24,2,1998-10-03
24,3,1998-10-17
24,4,1998-10-24
24,5,1998-11-07
24,6,1998-11-14
24,7,1998-11-21
24,8,1998-12-05
24,9,1998-12-12
24,10,1999-01-09
24,11,1999-01-16
24,12,1999-02-06
24,13,1999-02-13
24,14,1999-02-20
24,15,1999-03-13
24,16,1999-03-20
24,17,1999-04-10
24,18,1999-05-08
24,19,1999-05-15
25,1,1999-10-02
25,2,1999-10-16
25,3,1999-10-23
25,4,1999-11-06
25,5,1999-11-13
25,6,1999-11-20
25,7,1999-12-04
25,8,1999-12-11
25,9,2000-01-08
25,10,2000-01-15
25,11,2000-02-05
25,12,2000-02-12
25,13,2000-02-19
25,14,2000-03-11
25,15,2000-03-18
25,16,2000-04-08
25,17,2000-04-15
25,18,2000-05-06
25,19,2000-05-13
25,20,2000-05-20
26,1,2000-10-07
26,2,2000-10-14
26,3,2000-10-21
26,4,2000-11-04
26,5,2000-11-11
26,6,2000-11-18
26,7,2000-12-09
26,8,2000-12-16
26,9,2001-01-13
26,10,2001-01-20
26,11,2001-02-11
26,12,2001-02-17
26,13,2001-02-24
26,14,2001-03-10
26,15,2001-03-17
26,16,2001-04-07
26,17,2001-04-14
26,18,2001-05-05
26,19,2001-05-12
26,20,2001-05-19
27,1,2001-09-29
27,2,2001-10-06
27,3,2001-10-13
27,4,2001-11-03
27,5,2001-11-10
27,6,2001-11-17
27,7,2001-12-01
27,8,2001-12-08
27,9,2001-12-15
27,10,2002-01-12
27,11,2002-01-19
27,12,2002-02-02
27,13,2002-03-02
27,14,2002-03-09
27,15,2002-03-16
27,16,2002-04-06
27,17,2002-04-13
27,18,2002-04-20
27,19,2002-05-11
27,20,2002-05-18
28,1,2002-10-05
28,2,2002-10-12
28,3,2002-10-19
28,4,2002-11-02
28,5,2002-11-09
28,6,2002-11-16
28,7,2002-12-07
28,8,2002-12-14
28,9,2003-01-11
28,10,2003-01-18
28,11,2003-02-08
28,12,2003-02-15
28,13,2003-02-22
28,14,2003-03-08
28,15,2003-03-15
28,16,2003-04-05
28,17,2003-04-12
28,18,2003-05-03
28,19,2003-05-10
28,20,2003-05-17
29,1,2003-10-04
29,2,2003-10-11
29,3,2003-10-18
29,4,2003-11-01
29,5,2003-11-08
29,6,2003-11-15
